1 181.952 80.3478  1 127.153 385.269  1 127.153 385.269 
1 142.925 80.5195  1 144.339 337.042  1 144.339 337.042 
1 57.6975 139.054  1 57.102 395.848  1 57.102 395.848 
1 150.782 102.838  1 99.9326 406.508  1 99.9326 406.508 
1 29.4686 211.505  1 150.389 359.564  1 150.389 359.564 
1 62.667 174.707  1 183.745 337.6  1 183.745 337.6 
1 239.867 64.3158  1 29.6585 469.411  1 29.6585 469.411 
1 275.532 29.3235  1 64.3462 432.029  1 64.3462 432.029 
1 113.129 182.688  1 100.529 458.407  1 100.529 458.407 
1 160.212 129.625  1 126.132 425.646  1 126.132 425.646 
1 185.712 138.674  1 186.553 396.64  1 186.553 396.64 
1 219.484 101.33  1 222.545 358.121  1 222.545 358.121 
1 98.7023 149.495  1 241.416 320.998  1 241.416 320.998 
1 125.18 128.798  1 277.487 284.378  1 277.487 284.378 
-1.45682e+144 1.27615e-303 1.10964e-307  1 162.454 385.424  1 162.454 385.424 
