1 192.079 80.9965  1 127.153 385.269  1 127.153 385.269 
1 152.201 76.0211  1 144.339 337.042  1 144.339 337.042 
1 69.6936 140.83  1 57.102 395.848  1 57.102 395.848 
1 161.506 98.3811  1 99.9326 406.508  1 99.9326 406.508 
1 40.5677 201.604  1 150.389 359.564  1 150.389 359.564 
1 69.9762 164.254  1 183.745 337.6  1 183.745 337.6 
1 250.557 54.4103  1 29.6585 469.411  1 29.6585 469.411 
1 282.844 18.1932  1 64.3462 432.029  1 64.3462 432.029 
1 126.82 165.365  1 100.529 458.407  1 100.529 458.407 
1 170.745 115.188  1 126.132 425.646  1 126.132 425.646 
1 193.248 125.722  1 186.553 396.64  1 186.553 396.64 
1 233.852 97.8146  1 222.545 358.121  1 222.545 358.121 
1 108.752 151.124  1 241.416 320.998  1 241.416 320.998 
1 134.855 124.254  1 277.487 284.378  1 277.487 284.378 
2.10535e-314 1.2762e-303 2.27352e-307  1 162.454 385.424  1 162.454 385.424 
